START_LEVELS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT
2,Sub,,1,,1,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,2,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,3,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,4,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,5,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,6,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,7,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,8,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,9,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,10,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,11,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,12,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,13,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,14,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,15,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,16,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,17,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,18,1,Intens,30.6000,,,,,0,0,,,
2,Sub,,1,,21,1,Intens,40.0000,,,,,0,0,,,
2,Sub,,1,,22,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,23,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,24,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,25,1,Intens,58.0000,,,,,0,0,,,
2,Sub,,1,,26,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,27,1,Intens,60.0000,,,,,0,0,,,
2,Sub,,1,,28,1,Intens,0.0000,,,,,0,0,,,
2,Sub,,1,,31,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,32,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,33,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,34,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,35,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,36,1,Intens,30.0000,,,,,0,0,,,
2,Sub,,1,,41,1,Intens,33.0000,,,,,0,0,,,
2,Sub,,1,,42,1,Intens,33.0000,,,,,0,0,,,
2,Sub,,1,,43,1,Intens,33.0000,,,,,0,0,,,
